aded,trump,johnson,clinton,stein,total,winner
32005,52,4,705,6,819,clinton
32006,43,6,610,4,712,clinton
32007,12,0,111,2,132,clinton
32008,32,0,112,2,160,clinton
32009,10,1,138,4,165,clinton
32010,3,0,49,1,54,clinton
32011,99,0,524,1,678,clinton
32012,0,0,0,0,0,null
32013,9,1,96,1,116,clinton
32014,0,0,8,0,11,clinton
32015,16,3,578,5,651,clinton
32016,22,0,654,12,738,clinton
32017,44,3,592,9,697,clinton
32018,68,2,549,6,658,clinton
32019,90,2,483,2,592,clinton
32020,67,1,547,3,656,clinton
32021,28,2,604,3,678,clinton
32022,22,1,541,1,596,clinton
32023,30,1,489,5,575,clinton
32024,29,1,400,6,465,clinton
32025,22,3,607,7,693,clinton
32026,12,1,459,4,525,clinton
32027,17,2,521,5,647,clinton
32028,31,4,626,8,711,clinton
32029,18,1,664,9,735,clinton
32030,26,2,609,8,687,clinton
32031,38,0,641,7,731,clinton
32032,35,2,471,4,537,clinton
32033,26,3,681,7,759,clinton
32034,13,5,658,7,733,clinton
32035,18,3,674,9,754,clinton
32036,20,0,618,7,688,clinton
32037,14,1,308,1,351,clinton
32038,25,1,646,6,724,clinton
32039,14,1,675,3,740,clinton
32040,17,1,532,4,589,clinton
32041,13,2,504,6,562,clinton
32042,17,0,515,5,571,clinton
32043,23,3,702,4,767,clinton
32044,2,0,271,2,296,clinton
32045,11,3,696,8,771,clinton
32046,7,1,422,3,460,clinton
32047,12,4,425,6,483,clinton
32048,4,2,393,3,434,clinton
32049,25,4,696,8,792,clinton
32050,18,4,660,7,742,clinton
32051,27,6,621,2,698,clinton
32052,19,1,482,5,551,clinton
32053,22,1,574,7,658,clinton
32054,18,4,471,5,532,clinton
32055,12,0,540,8,591,clinton
32056,6,1,234,1,265,clinton
32057,16,2,765,5,905,clinton
32058,17,3,743,8,812,clinton
32059,25,2,673,10,755,clinton
32060,22,2,712,3,797,clinton
32061,20,0,702,5,792,clinton
32062,11,1,716,6,789,clinton
32063,9,0,595,6,651,clinton
32064,17,1,609,4,678,clinton
32065,29,3,604,5,690,clinton
32066,15,4,656,9,716,clinton
32067,11,4,596,5,654,clinton
32068,12,3,601,4,644,clinton
32069,11,4,616,7,677,clinton
32070,8,1,621,7,678,clinton
32071,11,1,583,11,650,clinton
32072,16,2,681,2,754,clinton
32073,18,4,475,4,529,clinton
32074,8,0,377,4,418,clinton
32075,5,2,407,1,439,clinton
32076,0,0,0,0,0,null
32077,18,0,506,3,580,clinton
32078,6,1,404,4,447,clinton
32079,11,5,531,9,608,clinton
33001,239,14,449,10,749,clinton
33002,270,20,453,6,798,clinton
33003,214,10,518,5,788,clinton
33004,149,18,452,7,662,clinton
33005,222,7,473,11,751,clinton
33006,293,6,449,13,808,clinton
33007,243,4,415,5,704,clinton
33008,234,10,486,11,789,clinton
33009,268,10,383,10,709,clinton
33010,129,10,333,4,497,clinton
33011,213,13,460,6,739,clinton
33012,161,5,564,8,773,clinton
33013,171,6,579,9,808,clinton
33014,114,6,513,14,696,clinton
