aded,first2016,total_voted_reg2008,total_voted2016,pct_first2016_total_voted_reg2008,pct_first2016_total_voted2016
30059,24,421,559,5.700712589,4.293381038
30060,21,350,651,6,3.225806452
30061,15,304,408,4.934210526,3.676470588
30062,23,197,429,11.6751269,5.361305361
30063,10,151,325,6.622516556,3.076923077
30064,16,175,403,9.142857143,3.970223325
30065,17,295,503,5.762711864,3.37972167
30066,17,268,607,6.343283582,2.800658979
30067,18,265,580,6.79245283,3.103448276
30068,24,340,679,7.058823529,3.53460972
30069,20,313,605,6.389776358,3.305785124
30073,36,470,667,7.659574468,5.397301349
30074,22,307,498,7.166123779,4.417670683
30075,13,194,342,6.701030928,3.801169591
30076,20,378,657,5.291005291,3.04414003
30077,22,343,630,6.413994169,3.492063492
30078,16,161,367,9.937888199,4.359673025
30079,17,249,562,6.827309237,3.024911032
30080,3,215,327,1.395348837,0.917431193
30081,24,363,490,6.611570248,4.897959184
30082,22,315,434,6.984126984,5.069124424
31001,15,218,343,6.880733945,4.373177843
31002,1,11,37,9.090909091,2.702702703
31003,27,297,466,9.090909091,5.793991416
31004,30,346,597,8.670520231,5.025125628
31005,27,300,478,9,5.648535565
31006,1,19,31,5.263157895,3.225806452
